frame,lane,vehicle_type,action,timestamp
3,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:37:59
129,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:05
219,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:09
309,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:14
399,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:18
489,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:22
588,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:27
678,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:31
768,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:35
861,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:40
951,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:44
1041,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:48
1131,Ambulance,Ambulance,EMERGENCY GREEN OVERRIDE,2026-03-07 16:38:52
492,Fire Truck,Fire Truck,EMERGENCY GREEN OVERRIDE,2026-03-07 16:39:16
621,Fire Truck,Fire Truck,EMERGENCY GREEN OVERRIDE,2026-03-07 16:39:22
57,Police,Police Car,EMERGENCY GREEN OVERRIDE,2026-03-07 16:39:31
147,Police,Police Car,EMERGENCY GREEN OVERRIDE,2026-03-07 16:39:42
