lane,frame,vehicle_count,density,heavy_ratio,avg_speed,congestion,green_time,priority_score,priority_level
Lane A,5,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane A,10,0,0.0,0.0,0.0,Low,20.0,0.0,Low Priority
Lane A,15,6,0.0432,0.0,0.0,Low,23.0,4.16,Low Priority
Lane A,20,7,0.0504,0.0,71.2,Low,13.5,4.86,Low Priority
Lane A,25,8,0.0576,0.125,63.0,Low,15.0,6.29,Low Priority
Lane A,30,8,0.0576,0.125,70.3,Low,15.0,6.29,Low Priority
Lane A,35,9,0.0648,0.0,64.6,Low,14.5,6.25,Low Priority
Lane A,40,9,0.0648,0.0,62.2,Low,14.5,6.25,Low Priority
Lane A,45,9,0.0648,0.0,62.7,Low,14.5,6.25,Low Priority
Lane A,50,10,0.072,0.0,57.6,Low,15.0,6.94,Low Priority
Lane A,55,10,0.072,0.0,85.5,Low,15.0,6.94,Low Priority
Lane A,60,12,0.0864,0.083,93.2,Medium,30.3,15.88,Low Priority
Lane A,65,12,0.0864,0.083,90.2,Medium,30.3,15.88,Low Priority
Lane A,70,13,0.0936,0.077,90.8,Medium,31.0,17.12,Low Priority
Lane A,75,14,0.1008,0.0,89.1,Medium,31.2,17.95,Low Priority
Lane A,80,15,0.108,0.0,79.9,Medium,32.0,19.24,Low Priority
Lane A,85,16,0.1152,0.062,60.1,Medium,33.3,20.88,Medium Priority
Lane A,90,19,0.1368,0.053,64.2,Medium,35.6,24.68,Medium Priority
Lane A,95,20,0.144,0.05,70.1,Medium,36.4,25.94,Medium Priority
Lane A,100,21,0.1512,0.048,63.0,Medium,37.2,27.21,Medium Priority
Lane A,105,21,0.1512,0.048,62.2,Medium,37.2,27.21,Medium Priority
Lane A,110,21,0.1512,0.048,57.7,Medium,37.2,27.21,Medium Priority
Lane A,115,21,0.1512,0.048,64.2,Medium,37.2,27.21,Medium Priority
Lane A,120,21,0.1512,0.048,44.7,Medium,37.2,27.21,Medium Priority
Lane A,125,21,0.1512,0.048,52.4,Medium,37.2,27.21,Medium Priority
Lane A,130,22,0.1584,0.091,51.6,Medium,38.3,28.75,Medium Priority
Lane A,135,24,0.1727,0.042,60.6,High,54.7,45.14,High Priority
Lane A,140,24,0.1727,0.042,73.2,High,54.7,45.14,High Priority
Lane A,145,25,0.1799,0.04,69.3,High,55.3,47.0,High Priority
Lane A,150,25,0.1799,0.04,77.1,High,55.3,47.0,High Priority
Lane A,155,25,0.1799,0.08,71.0,High,55.6,47.23,High Priority
Lane A,160,25,0.1799,0.08,69.4,High,55.6,47.23,High Priority
Lane A,165,26,0.1871,0.0,67.4,High,55.6,48.63,High Priority
